City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Kavieng,PG,-2.5744,150.7967,82.06,78,100,7.36,light rain
118,Mikhaylovka,RU,50.06,43.2379,38.7,77,11,7.56,few clouds
119,Yellowknife,CA,62.456,-114.3525,21.56,85,98,25.99,overcast clouds
120,Sao Filipe,CV,14.8961,-24.4956,78.76,69,69,8.68,broken clouds
121,Belvedere Marittimo,IT,39.6179,15.8617,55.11,69,18,5.66,few clouds
122,Cap-Aux-Meules,CA,47.3821,-61.8597,43.48,73,93,9.51,overcast clouds
123,Sitka,US,57.0531,-135.33,39.09,87,75,6.91,broken clouds
124,Saint-Georges,GD,12.0564,-61.7485,80.76,75,78,13.15,broken clouds
125,Malanje,AO,-9.5402,16.341,65.08,81,73,5.06,broken clouds
126,Codrington,AU,-38.2667,141.9667,50.13,92,62,7.92,broken clouds
127,Ilulissat,GL,69.2167,-51.1,7.0,94,100,2.3,overcast clouds
128,Ahipara,NZ,-35.1667,173.1667,59.68,95,70,6.02,broken clouds
129,Nikolskoye,RU,59.7035,30.7861,53.49,91,100,12.62,overcast clouds
130,Arlit,NE,18.7369,7.3853,82.22,12,0,5.64,clear sky
131,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.26,78,90,12.17,overcast clouds
132,Valday,RU,57.9747,33.2525,46.02,92,100,15.57,overcast clouds
133,Betera,ES,39.5833,-0.45,59.88,93,75,5.75,broken clouds
134,Kondinskoye,RU,59.6481,67.41,32.41,98,100,10.0,light snow
135,Mindelo,CV,16.8901,-24.9804,80.15,57,40,20.71,scattered clouds
136,Namibe,AO,-15.1961,12.1522,67.41,75,24,11.39,few clouds
137,Naryan-Mar,RU,67.6713,53.087,17.22,95,89,9.55,overcast clouds
138,Boyolangu,ID,-8.1181,111.8935,75.96,90,100,1.52,overcast clouds
139,Novyy Urgal,RU,51.0736,132.5642,16.21,97,82,2.13,broken clouds
140,Chokurdakh,RU,70.6333,147.9167,-21.69,98,100,6.53,overcast clouds
141,Saint George,US,37.1041,-113.5841,46.44,35,0,1.99,clear sky
142,Yining,CN,29.0361,114.5636,71.22,68,47,1.25,scattered clouds
143,Kayes,ML,14.0,-11.0,86.36,11,74,4.27,broken clouds
144,Charters Towers,AU,-20.1,146.2667,67.84,83,0,10.2,clear sky
145,Biltine,TD,14.5333,20.9167,82.22,19,1,9.91,clear sky
146,Purgstall,AT,48.0584,15.1348,47.75,72,96,2.59,overcast clouds
147,Severo-Kurilsk,RU,50.6789,156.125,34.39,59,97,30.89,overcast clouds
148,Oranjemund,NA,-28.55,16.4333,61.03,79,0,6.71,clear sky
149,Nemuro,JP,43.3236,145.575,46.0,60,39,11.25,scattered clouds
150,Joshimath,IN,30.5667,79.5667,44.91,44,10,6.44,clear sky
151,Louth,GB,53.3666,-0.0044,58.96,82,96,15.32,overcast clouds
152,Salym,RU,60.0625,71.4789,30.24,93,100,9.73,overcast clouds
153,Hay River,CA,60.8156,-115.7999,14.34,78,92,9.33,overcast clouds
154,Palmas,BR,-10.2128,-48.3603,87.67,62,40,14.97,thunderstorm
155,Leningradskiy,RU,69.3833,178.4167,3.79,92,100,8.52,overcast clouds
156,Provideniya,RU,64.3833,-173.3,12.99,78,12,7.23,few clouds
157,Kaitangata,NZ,-46.2817,169.8464,50.47,79,100,3.02,light rain
158,Nantucket,US,41.2835,-70.0995,69.94,84,100,13.8,overcast clouds
159,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,47,9.6,scattered clouds
160,Kruisfontein,ZA,-34.0033,24.7314,65.88,77,61,1.81,broken clouds
161,Stornoway,GB,58.2093,-6.3865,49.96,91,0,12.66,clear sky
162,San Patricio,US,28.017,-97.5169,84.07,55,32,11.88,scattered clouds
163,Itoman,JP,26.1247,127.6694,77.77,92,75,11.5,broken clouds
164,Esperance,AU,-33.8667,121.9,54.73,70,90,19.91,overcast clouds
165,Norman Wells,CA,65.282,-126.8329,18.57,94,100,0.74,light snow
166,Mzimba,MW,-11.9,33.6,65.1,83,66,5.93,broken clouds
167,Okhotsk,RU,59.3833,143.3,4.26,73,6,16.08,clear sky
168,Wonthaggi,AU,-38.6044,145.5913,55.81,86,72,6.69,broken clouds
169,Antalaha,MG,-14.9003,50.2788,70.97,83,7,7.94,clear sky
170,Hobyo,SO,5.3505,48.5268,81.32,75,18,12.82,few clouds
171,Cidreira,BR,-30.1811,-50.2056,67.03,87,100,11.68,overcast clouds
172,Beyneu,KZ,45.3167,55.2,42.35,71,1,7.56,clear sky
173,Praxedis Guerrero,MX,31.3667,-106.0167,56.66,23,1,11.18,clear sky
174,Mocorito,MX,25.4833,-107.9167,78.21,51,5,3.44,clear sky
175,Hami,CN,42.8,93.45,33.82,42,2,2.42,clear sky
176,Trairi,BR,-3.2778,-39.2689,85.73,58,94,12.33,overcast clouds
177,Marawi,PH,7.9986,124.2928,68.61,93,80,1.23,broken clouds
178,Presidente Medici,BR,-11.1753,-61.9014,91.69,46,100,5.1,overcast clouds
179,Okha,RU,53.5739,142.9478,24.15,83,87,9.95,overcast clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,83,55,10.76,broken clouds
181,Clyde River,CA,70.4692,-68.5914,-8.39,94,75,3.71,broken clouds
182,Rize,TR,40.9044,40.8949,34.97,89,73,2.75,broken clouds
183,Guerrero Negro,MX,27.9769,-114.0611,67.39,37,80,1.95,broken clouds
