City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Honiara,SB,2022-11-07 21:29:00,-9.4333,159.95,81.95,79,43,2.42
104,Seoul,KR,2022-11-07 21:26:48,37.5683,126.9778,51.24,90,75,3.44
105,Bilma,NE,2022-11-07 21:29:01,18.6853,12.9164,74.59,18,0,6.91
106,Mar Del Plata,AR,2022-11-07 21:29:01,-38.0023,-57.5575,72.82,80,0,20.71
107,Ukiah,US,2022-11-07 21:28:15,39.1502,-123.2078,47.32,91,100,3.44
108,Guerrero Negro,MX,2022-11-07 21:25:04,27.9769,-114.0611,69.73,64,97,13.78
109,Geri,CY,2022-11-07 21:29:02,35.1,33.4167,60.19,88,75,5.75
110,Dilla,ET,2022-11-07 21:29:02,6.41,38.31,61.66,81,98,3.89
111,Yellowknife,CA,2022-11-07 21:29:03,62.456,-114.3525,7.32,85,75,9.22
112,Maryborough,AU,2022-11-07 21:29:03,-25.5333,152.7,67.48,67,31,7.34
113,Fort Smith,US,2022-11-07 21:29:04,35.3859,-94.3986,71.65,68,40,12.66
114,Hammond,US,2022-11-07 21:29:04,41.5834,-87.5,56.14,45,0,11.5
115,Puerto Escondido,MX,2022-11-07 21:29:04,15.85,-97.0667,85.03,61,20,8.05
116,Fenoarivo,MG,2022-11-07 21:29:05,-18.933,47.4354,64.47,82,75,6.91
117,Norman Wells,CA,2022-11-07 21:29:05,65.282,-126.8329,5.04,72,20,8.05
118,Tuktoyaktuk,CA,2022-11-07 21:29:06,69.4541,-133.0374,1.4,78,40,8.05
119,Watsa,CD,2022-11-07 21:29:06,3.0372,29.5355,65.48,93,100,2.37
120,Touros,BR,2022-11-07 21:29:07,-5.1989,-35.4608,78.55,69,98,10.45
121,Digha,IN,2022-11-07 21:29:07,21.6833,87.55,72.43,72,59,3.33
122,Tiksi,RU,2022-11-07 21:29:07,71.6872,128.8694,1.22,91,100,19.13
123,Nouadhibou,MR,2022-11-07 21:29:08,20.931,-17.0347,69.78,83,1,12.66
124,New Norfolk,AU,2022-11-07 21:29:08,-42.7826,147.0587,59.72,75,93,3.18
125,Rawson,AR,2022-11-07 21:29:09,-43.3002,-65.1023,69.03,47,99,10.09
126,Cherskiy,RU,2022-11-07 21:29:10,68.75,161.3,-6.72,99,19,3.51
127,Hastings,GB,2022-11-07 21:29:10,50.8552,0.5729,60.93,70,87,30.09
128,Saint-Philippe,RE,2022-11-07 21:29:10,-21.3585,55.7679,71.19,81,65,9.84
129,Havoysund,NO,2022-11-07 21:29:11,70.9963,24.6622,39.43,72,78,14.07
130,Manicore,BR,2022-11-07 21:29:11,-5.8092,-61.3003,80.55,78,0,9.22
131,Acapulco,MX,2022-11-07 21:28:42,16.8634,-99.8901,85.82,74,20,9.22
132,Deputatskiy,RU,2022-11-07 21:29:12,69.3,139.9,-4.59,94,100,5.91
133,Mashhad,IR,2022-11-07 21:29:12,36.297,59.6062,42.94,93,40,6.91
134,Avarua,CK,2022-11-07 21:30:13,-21.2078,-159.775,73.45,83,75,6.91
135,Thompson,CA,2022-11-07 21:25:58,55.7435,-97.8558,6.96,72,20,6.91
136,Mbaiki,CF,2022-11-07 21:30:13,3.8678,17.9892,69.98,99,100,1.77
137,Kodiak,US,2022-11-07 21:30:14,57.79,-152.4072,38.71,81,100,17.27
138,Saint-Augustin,CA,2022-11-07 21:30:15,51.226,-58.6502,49.08,93,68,18.14
139,Lorengau,PG,2022-11-07 21:30:15,-2.0226,147.2712,84.09,71,95,4.27
140,Pitea,SE,2022-11-07 21:30:16,65.3172,21.4794,26.69,90,11,3.56
141,Saint George,US,2022-11-07 21:30:16,37.1041,-113.5841,71.8,28,0,27.63
142,Namatanai,PG,2022-11-07 21:30:16,-3.6667,152.4333,82.6,74,83,4.21
143,Alvaraes,BR,2022-11-07 21:30:17,-3.2208,-64.8042,85.87,93,93,3.65
144,Mersing,MY,2022-11-07 21:30:18,2.4312,103.8405,75.11,94,40,3.44
145,Tigil,RU,2022-11-07 21:30:18,57.8,158.6667,16.41,96,100,5.5
146,Georgetown,MY,2022-11-07 21:30:19,5.4112,100.3354,80.24,89,20,2.3
147,San Cristobal,VE,2022-11-07 21:30:19,7.7669,-72.225,77.18,87,92,3.51
148,Broome,US,2022-11-07 21:30:20,42.2506,-75.833,60.17,28,0,13.8
149,Haines Junction,CA,2022-11-07 21:30:20,60.7522,-137.5108,1.35,60,17,1.14
150,Nanortalik,GL,2022-11-07 21:30:21,60.1432,-45.2371,26.94,89,100,4.38
151,Afikpo,NG,2022-11-07 21:30:21,5.8931,7.9374,78.08,68,99,2.57
152,Moussoro,TD,2022-11-07 21:30:22,13.6408,16.4901,83.12,17,6,10.38
153,Nagato,JP,2022-11-07 21:27:33,34.3833,131.2,57.97,58,0,5.64
154,Severo-Kurilsk,RU,2022-11-07 21:30:22,50.6789,156.125,34.63,82,86,10.54
155,Ilulissat,GL,2022-11-07 21:30:23,69.2167,-51.1,-6.45,88,14,6.4
156,Jamestown,US,2022-11-07 21:30:23,42.097,-79.2353,49.95,51,0,14.97
157,Victoria,HK,2022-11-07 21:30:23,22.2855,114.1577,71.26,94,100,8.99
158,Brownsville,US,2022-11-07 21:27:52,25.9018,-97.4975,88.09,66,20,18.41
159,Mubi,NG,2022-11-07 21:30:24,10.2676,13.2644,74.08,34,66,0.83
160,Katsuura,JP,2022-11-07 21:30:24,35.1333,140.3,59.49,91,13,9.86
161,Kasongo-Lunda,CD,2022-11-07 21:30:25,-6.4667,16.8167,70.11,98,99,1.83
162,Qaanaaq,GL,2022-11-07 21:30:25,77.484,-69.3632,-0.53,96,100,9.04
163,Nalut,LY,2022-11-07 21:30:26,30.3333,10.85,59.58,41,0,7.58
164,Mindelo,CV,2022-11-07 21:30:26,16.8901,-24.9804,76.55,73,75,19.57
165,Sarankhola,BD,2022-11-07 21:30:26,22.3082,89.7897,67.66,83,4,2.21
166,Reserva,BR,2022-11-07 21:30:27,-24.6503,-50.8506,58.01,69,44,1.66
167,Kishi,NG,2022-11-07 21:30:27,9.0833,3.85,76.06,40,92,1.34
168,Launceston,AU,2022-11-07 21:30:27,-41.45,147.1667,60.44,74,21,1.14
169,Estelle,US,2022-11-07 21:30:28,29.8458,-90.1067,84.99,69,20,10.36
170,Hazaribag,IN,2022-11-07 21:30:28,23.9833,85.35,60.91,71,27,0.65
171,Kapaa,US,2022-11-07 21:30:28,22.0752,-159.319,82.72,75,20,14.97
172,Alausi,EC,2022-11-07 21:30:29,-2.2,-78.8333,53.46,86,75,5.5
173,Egvekinot,RU,2022-11-07 21:30:29,66.3167,-179.1667,19.0,91,100,13.27
174,Baghdad,IQ,2022-11-07 21:30:29,33.3406,44.4009,58.91,47,0,0.0
175,Oranjestad,AW,2022-11-07 21:30:30,12.524,-70.027,82.35,92,40,6.91
176,Padang,ID,2022-11-07 21:30:30,-0.9492,100.3543,75.25,87,99,2.98
177,Izhevskoye,RU,2022-11-07 21:30:30,54.5567,40.8703,35.06,96,100,6.17
178,Kununurra,AU,2022-11-07 21:28:07,-15.7667,128.7333,78.78,89,40,0.0
179,Castro,BR,2022-11-07 21:30:31,-24.7911,-50.0119,55.31,72,11,6.42
180,San Patricio,US,2022-11-07 21:30:31,28.017,-97.5169,86.72,64,0,12.39
181,Lompoc,US,2022-11-07 21:25:50,34.6391,-120.4579,60.53,90,100,5.75
182,Hammerfest,NO,2022-11-07 21:30:31,70.6634,23.6821,34.25,100,40,2.3
183,Torbay,CA,2022-11-07 21:30:41,47.6666,-52.7314,59.76,95,100,21.85
184,Bafq,IR,2022-11-07 21:31:32,31.6128,55.4107,56.86,40,0,8.84
185,Inuvik,CA,2022-11-07 21:31:32,68.3499,-133.7218,6.01,72,40,5.75
186,Bereda,ES,2022-11-07 21:31:33,43.2686,-7.5406,57.42,100,83,14.45
187,Upernavik,GL,2022-11-07 21:31:33,72.7868,-56.1549,8.91,88,95,6.02
188,Antalya,TR,2022-11-07 21:31:33,36.7741,30.7178,59.59,82,75,9.22
189,Ambikapur,IN,2022-11-07 21:31:34,23.1167,83.2,59.97,75,33,1.52
190,Aklavik,CA,2022-11-07 21:31:34,68.2191,-135.0107,-0.4,78,40,4.61
191,Amahai,ID,2022-11-07 21:31:34,-3.3333,128.9167,79.59,79,100,3.29
192,Sterling,US,2022-11-07 21:31:10,39.0062,-77.4286,77.9,34,20,9.22
193,Jonesboro,US,2022-11-07 21:31:35,35.8423,-90.7043,62.2,63,100,17.27
194,Saint-Pierre,RE,2022-11-07 21:31:35,-21.3393,55.4781,71.28,73,0,5.75
195,Namibe,AO,2022-11-07 21:31:35,-15.1961,12.1522,68.76,76,3,9.31
196,Peniche,PT,2022-11-07 21:31:36,39.3558,-9.3811,65.28,95,84,15.5
197,Enshi,CN,2022-11-07 21:31:36,30.3,109.4833,56.19,95,2,0.47
198,Kologriv,RU,2022-11-07 21:31:36,58.8275,44.3178,33.4,96,99,7.99
199,Narsaq,GL,2022-11-07 21:31:37,60.9167,-46.05,30.42,83,100,6.4
200,Maneadero,MX,2022-11-07 21:31:35,31.7167,-116.5667,70.11,73,3,5.01
201,George Town,MY,2022-11-07 21:29:57,5.4112,100.3354,80.24,87,20,2.3
202,La Rioja,ES,2022-11-07 21:31:37,42.25,-2.5,42.58,55,100,7.67
203,Sao Joao Da Barra,BR,2022-11-07 21:31:37,-21.6403,-41.0511,73.49,72,21,7.61
204,Carnarvon,AU,2022-11-07 21:31:38,-24.8667,113.6333,66.31,61,38,14.09
205,Ewa Beach,US,2022-11-07 21:31:38,21.3156,-158.0072,84.85,61,40,18.41
206,Beatrice,US,2022-11-07 21:31:38,40.2681,-96.747,57.18,22,0,16.11
207,Tucurui,BR,2022-11-07 21:31:38,-3.7661,-49.6725,77.29,83,100,1.48
208,Pathein,MM,2022-11-07 21:31:39,16.7833,94.7333,71.96,88,56,4.54
209,San Carlos,VE,2022-11-07 21:31:39,9.6612,-68.5827,76.95,88,80,0.92
210,Kahului,US,2022-11-07 21:30:23,20.8947,-156.47,89.62,60,20,25.32
211,Seddon,AU,2022-11-07 21:31:39,-37.8068,144.8916,69.31,75,20,14.97
212,Luwuk,ID,2022-11-07 21:31:40,-0.9516,122.7875,77.04,89,100,2.8
213,Columbus,US,2022-11-07 21:31:40,39.9612,-82.9988,67.1,21,20,9.22
214,Shimoda,JP,2022-11-07 21:31:41,34.6667,138.95,56.1,68,0,10.92
215,Raisinghnagar,IN,2022-11-07 21:31:41,29.5358,73.4492,67.93,55,7,8.39
216,Palembang,ID,2022-11-07 21:31:41,-2.9167,104.7458,77.09,100,40,2.3
217,Sal Rei,CV,2022-11-07 21:31:42,16.1833,-22.9167,78.69,65,92,12.33
218,Geraldton,AU,2022-11-07 21:31:20,-28.7667,114.6,61.21,88,75,4.61
219,Dabat,ET,2022-11-07 21:31:42,12.9842,37.765,54.16,53,6,1.7
220,Ambon,ID,2022-11-07 21:31:42,-3.6954,128.1814,77.23,15,20,2.3
221,Abha,SA,2022-11-07 21:31:43,18.2164,42.5053,59.25,88,36,0.0
222,Xiangxiang,CN,2022-11-07 21:31:43,27.7333,112.5333,61.34,64,3,2.33
223,Shibetsu,JP,2022-11-07 21:31:43,43.659,145.132,41.11,71,93,2.04
224,Ailigandi,PA,2022-11-07 21:31:43,9.2333,-78.0167,81.3,75,100,5.5
225,Paamiut,GL,2022-11-07 21:31:44,61.994,-49.6678,16.59,62,99,7.61
226,Beringovskiy,RU,2022-11-07 21:31:44,63.05,179.3167,29.46,97,100,17.43
227,Zyryanka,RU,2022-11-07 21:31:45,65.75,150.85,-7.33,98,100,12.82
228,Omboue,GA,2022-11-07 21:31:45,-1.5746,9.2618,76.71,90,100,6.6
229,Barra Patuca,HN,2022-11-07 21:32:45,15.8,-84.2833,80.56,77,17,12.77
230,Bambanglipuro,ID,2022-11-07 21:32:46,-7.95,110.2833,74.64,93,99,2.17
231,Bengkulu,ID,2022-11-07 21:32:46,-3.8004,102.2655,73.94,92,100,3.29
232,Ghanzi,BW,2022-11-07 21:32:46,-21.5667,21.7833,63.23,83,16,6.53
233,Ayan,RU,2022-11-07 21:32:47,56.45,138.1667,11.03,58,99,15.23
234,Fallon,US,2022-11-07 21:32:47,39.4735,-118.7774,48.07,30,75,10.36
235,Abalak,RU,2022-11-07 21:32:47,58.1286,68.5944,23.41,96,33,5.53
236,Jiaohe,CN,2022-11-07 21:32:47,43.7286,127.3447,30.22,77,2,4.41
237,Benguela,AO,2022-11-07 21:32:48,-12.5763,13.4055,75.42,77,27,5.37
238,Daru,PG,2022-11-07 21:32:48,-9.0763,143.2092,78.96,88,100,5.3
239,Arlit,NE,2022-11-07 21:32:48,18.7369,7.3853,74.79,18,6,9.89
240,Nakamura,JP,2022-11-07 21:32:49,32.9833,132.9333,50.81,91,1,5.41
241,Puerto Ayora,EC,2022-11-07 21:32:49,-0.7393,-90.3518,75.16,83,87,5.99
242,Teya,RU,2022-11-07 21:32:49,60.3778,92.6267,19.92,94,99,4.56
243,Rabo De Peixe,PT,2022-11-07 21:32:50,37.8,-25.5833,62.28,97,40,8.05
244,Wagar,SD,2022-11-07 21:32:50,16.1525,36.2032,81.32,59,0,11.68
245,Presidencia Roque Saenz Pena,AR,2022-11-07 21:32:50,-26.7852,-60.4388,84.22,21,73,9.08
246,Butembo,CD,2022-11-07 21:32:51,0.15,29.2833,56.62,97,98,2.71
247,Galveston,US,2022-11-07 21:32:51,29.3669,-94.9669,85.08,79,20,8.05
248,San Quintin,MX,2022-11-07 21:32:51,30.4833,-115.95,68.31,67,85,14.92
